Origin Countries,State Code,AUS,NZL,ASM,COK,FJI,PYF,GUM,KIR,MHL,FSM,NRU,NCL,NFK,MNP,NIU,PLW,PNG,WSM,SLB,TKL,TON,TUV,VUT,WLF,CHN,HKG,JPN,KOR,TWN,MAC,MNG,PRK,IDN,MYS,PHL,SGP,THA,VNM,BRN,KHM,LAO,MMR,TLS,BGD,IND,LKA,AFG,BTN,MDV,NPL,PAK,CAN,USA,MEX,BMU,GRL,SPM,COL,PER,VEN,BOL,ECU,ARG,BRA,CHL,URY,FLK,GUF,GUY,PRY,SUR,BLZ,CRI,SLV,GTM,HND,NIC,PAN,ATG,BHS,BRB,DMA,DOM,GRD,HTI,JAM,PRI,KNA,LCA,VCT,TTO,VIR,AIA,ABW,CYM,CUB,GLP,MTQ,MSR,ANT,TCA,VGB,AUT,BEL,DNK,FIN,FRA,DEU,GBR,GRC,IRL,ITA,LUX,NLD,PRT,ESP,SWE,CHE,ISL,LIE,NOR,AND,BIH,FRO,GIB,MKD,MCO,SMR,SCG,ALB,BGR,HRV,CYP,CZE,HUN,MLT,POL,ROM,SVK,SVN,EST,LVA,LTU,RUS,ARM,AZE,BLR,GEO,KAZ,KGZ,MDA,TJK,TKM,UKR,UZB,TUR,BHR,IRN,IRQ,ISR,JOR,KWT,LBN,PSE,OMN,QAT,SAU,SYR,ARE,YEM,MAR,TUN,DZA,EGY,LBY,BWA,ZAF,LSO,NAM,SWZ,MWI,MOZ,TZA,ZMB,ZWE,AGO,COD,MUS,SYC,MDG,UGA,BEN,BFA,BDI,CMR,CPV,CAF,TCD,COM,COG,CIV,DJI,GNQ,ERI,ETH,GAB,GMB,GHA,GIN,GNB,KEN,LBR,MLI,MRT,MYT,NER,NGA,REU,RWA,SHN,STP,SEN,SLE,SOM,SDN,TGO
Egypt,EGY,33432,1199,3,0,7,64,23,4,17,0,31,11,1,5,0,2,14,1,1,0,0,0,1,6,342,2,754,6,515,21,24,11,599,1280,2850,49,961,53,17,10,2,166,6,32,5628,17,90,24,8,3005,22261,36924,123192,107,9,45,3,124,50,267,25,37,642,2708,88,75,0,4,0,9,6,2,11,21,18,2,3,42,27,2,7,3,3,20,43,11,1401,11,2,7,85,10,0,127,1,786,10,49,0,0,2,8,9275,1961,1278,407,23148,40852,26946,32697,691,38706,115,9459,102,2021,2329,5119,35,5,477,21,11,27,6,175,70,54,3742,10,98,51,1466,157,271,13,219,13,27,5,180,6,4,6602,85,0,152,105,130,382,382,461,241,3448,5177,770,4719,1778,10851,21700,127018,10655,45602,103457,42090,0,1015124,34828,48652,18213,11292,1465,20173,0,55681,66,4426,36,306,524,292,1240,422,379,2130,168,29088,14,15,117,528,133,8616,1084,184,17,32,242,81,249,18034,370,39,187,1583,3455,319,17951,7627,146,4365,330,571,241,0,125,6489,15,98,13,24,1764,9,302,24706,1125
Libyan Arab Jamahiriya,LBY,1442,103,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,11,0,19,1,1,0,16,47,53,2,35,2,1,0,0,6,0,1,205,1,3,1,0,112,833,2575,8913,12,1,3,0,7,4,102,5,4,24,14,23,2,0,0,0,0,0,2,0,1,0,0,20,22,0,0,0,0,13,1,2,0,51,0,0,0,3,0,0,5,0,29,0,2,0,0,0,0,331,298,173,72,1428,2981,9236,592,785,912,16,432,11,543,456,774,1,0,132,1,0,3,1,0,3,5,366,3,4,2,65,100,218,249,310,4,19,0,7,2,1,241,3,0,6,4,5,14,14,17,9,129,189,3072,334,36,215,19200,2558,389,904,67,90,0,27,1214,980,361,890,1222,1591,3284,0,2,166,1,11,19,11,45,15,17,80,6,1089,1,1,66,20,5,352,46,7,1,6,1179,3,9,658,16,1,8,67,126,12,655,308,5,184,12,23,148,0,113,162,1,4,1,1,66,0,13,0,41
Botswana,BWA,708,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,3,9,8,0,7,0,0,0,0,1,0,0,41,0,1,0,0,18,132,200,1589,1,0,1,0,0,1,0,0,1,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,2,21,53,3,183,515,2069,3,121,5,0,185,34,11,56,33,0,0,93,0,0,0,0,0,1,1,65,0,1,0,3,2,1,0,0,0,0,0,1,0,0,48,1,0,1,1,1,3,3,3,2,20,37,13,2,0,1,11,27,77,5,9,1,0,0,1,10,2,4,0,7,5,14,0,2989,78,2815,4,236,9,539,477,1931,152,172,0,12,2,4,1,50,14,0,0,0,2,0,1,130,5,0,2,19,25,2,130,51,1,52,2,4,1,0,1,32,12,1,0,0,10,2,4,0,8
South Africa,ZAF,79425,26069,8,0,3,24,8,12,6,0,95,32,3,2,0,7,5,0,1,1,0,1,1,18,119,1,248,2,191,8,9,4,165,476,539,18,357,18,6,4,1,62,2,12,2091,6,34,9,3,1149,8508,37681,70465,75,6,30,1,7,10,50,20,38,240,138,250,33,5,1,0,154,2,17,4,8,1,6,3,24,79,73,4,2,113,10,21,4,521,5,1,2,32,4,0,47,20,292,5,18,0,0,1,3,2038,2727,1008,208,3202,34674,142416,5550,6277,758,178,11286,11197,1372,1408,5204,76,2,787,8,4,32,6,2,26,63,4401,8,36,19,1404,154,94,5,277,10,16,2,67,5,0,2453,31,0,57,39,48,142,142,171,89,1318,1923,296,104,24,61,583,1679,3958,255,460,58,0,18,69,643,102,191,9,341,217,739,9290,0,2910,36194,10589,5332,125884,2229,7299,57861,4561,11117,444,374,111,189,49,3199,280,13,6,1,90,31,95,6700,96,15,48,423,1283,122,6669,2742,56,1167,123,205,79,0,46,1646,375,37,3,9,673,106,78,0,418
Lesotho,LSO,53,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,10,0,0,0,8,26,23,1,20,1,0,0,0,3,0,1,114,0,2,0,0,49,364,165,413,1,0,0,0,0,1,1,1,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,2,0,0,3,0,16,0,1,0,0,0,0,1,8,40,0,26,420,373,2,53,28,0,88,2,15,21,96,0,0,8,0,0,0,0,0,1,0,23,0,2,1,0,5,0,0,3,0,0,0,4,0,0,134,2,0,3,2,3,8,8,9,5,56,105,9,4,1,3,32,72,216,13,25,3,0,1,3,27,5,9,0,16,5,40,508,8246,0,6,11,1213,23453,878,486,9914,782,476,0,61,5,9,2,137,26,1,0,0,5,1,4,366,9,1,5,37,70,5,365,143,2,103,7,11,3,0,3,90,61,2,0,0,29,5,7,0,23
Namibia,NAM,437,231,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,0,0,4,13,12,1,10,0,0,0,0,2,0,0,58,0,1,0,0,25,186,305,1023,2,0,0,0,3,2,1,0,1,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,1,0,8,0,1,0,0,0,0,1,23,32,29,109,459,1254,7,53,7,4,174,132,37,56,152,0,0,66,0,0,0,0,0,1,1,50,0,1,0,2,7,1,0,5,0,0,0,2,0,1,68,1,0,2,1,1,4,4,5,2,29,53,3,2,1,2,16,36,110,6,12,2,0,0,1,14,3,89,4,159,424,20,258,4215,9,0,5,392,5627,2561,454,3203,252,243,0,20,2,9,1,70,52,1,0,0,2,1,2,186,18,0,9,71,36,3,185,73,1,196,3,5,2,0,1,45,20,1,1,0,15,2,14,0,12
Swaziland,SWZ,205,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,6,6,0,5,0,0,0,0,1,0,0,28,0,0,0,0,12,89,195,643,1,0,0,0,0,1,2,0,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,59,40,7,9,271,875,13,27,15,0,91,165,5,15,55,0,0,17,0,0,0,0,0,0,0,32,0,0,0,0,2,0,0,1,0,0,0,1,0,0,33,0,0,1,1,1,2,2,2,1,14,26,77,1,0,1,8,25,53,6,6,1,0,0,1,10,2,3,0,5,5,10,124,2007,54,2,0,209,3353,307,106,1711,135,116,0,11,1,2,1,33,8,0,0,0,1,0,1,89,3,0,1,11,17,1,89,35,1,31,2,3,1,0,1,22,11,0,0,0,7,1,2,0,6
Malawi,MWI,486,145,0,0,0,4,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,18,0,33,1,2,0,26,83,74,3,62,2,1,1,0,11,0,2,365,1,5,1,0,158,1173,430,2070,2,0,1,0,0,2,1,4,0,40,24,2,0,1,0,0,0,0,9,1,1,0,0,0,1,0,0,0,0,0,1,2,1,91,1,0,0,6,1,0,8,4,51,1,3,0,0,0,1,8,54,49,2,91,2898,12489,21,94,79,6,234,191,27,47,100,1,0,29,1,1,2,0,0,5,4,314,0,6,3,2,19,0,1,1,0,0,0,12,0,0,428,5,0,10,7,8,25,25,30,16,182,336,4,14,3,9,102,228,691,40,79,10,0,2,9,87,16,31,1,55,25,129,1623,26568,66,20,34,0,9530,28491,28635,19432,1532,1533,1,124,5,76,7,439,550,6,1,0,16,4,13,1170,188,3,95,752,224,17,1165,455,8,2075,21,34,11,0,8,286,124,6,6,1,93,2,153,0,73
Mozambique,MOZ,552,54,0,0,3,23,8,0,6,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,54,0,3,1,189,8,9,2,150,470,420,18,353,14,6,3,0,61,2,12,2066,6,28,7,2,897,6641,911,3768,7,0,1,1,10,2,31,3,4,224,1065,48,1,0,1,0,2,2,0,4,8,1,1,2,3,1,1,2,1,6,7,13,4,514,4,1,2,31,3,0,47,0,289,3,18,0,0,0,3,51,282,124,21,938,17544,4207,70,50,257,152,475,76017,639,228,1111,5,2,92,8,4,14,3,2,26,28,1954,1,36,16,3,4,11,5,14,1,2,2,66,1,0,2424,31,0,56,38,48,140,140,169,88,1029,1901,6,81,18,53,576,1288,3912,224,445,56,0,14,53,493,90,149,6,267,19,731,9181,150369,188,112,21095,162407,0,193100,3993,101531,8004,8678,4,649,30,489,39,2496,3690,40,75,1,89,24,75,6621,1260,20,638,5047,1268,95,6590,2588,43,13919,120,194,62,0,46,1619,650,36,43,201,525,9,1027,0,413
"Tanzania, United Republic of",TZA,1714,278,0,0,1,8,3,0,2,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,67,0,186,1,66,3,3,2,52,165,147,6,124,5,2,1,0,21,1,4,726,2,10,3,1,313,2321,19960,12819,9,2,9,0,1,4,4,3,1,79,48,10,0,1,0,0,1,0,0,1,3,0,0,7,1,0,0,1,0,1,3,5,1,181,1,0,1,11,1,0,16,9,101,1,6,0,0,0,1,23,291,814,172,614,7587,32943,403,189,744,4,1180,166,146,1012,730,14,1,589,3,1,7,1,1,9,13,910,1,13,6,41,20,19,2,51,1,2,1,23,0,1,851,11,0,20,13,17,49,49,59,31,360,668,223,28,7,21,202,473,1374,87,157,20,0,5,19,181,35,86,4,154,176,257,3225,52554,119,39,68,13699,15208,0,1631,25297,1994,3033,1,162,10,58725,13,868,1148,13,2,0,31,8,26,2325,392,7,199,1573,445,33,2315,904,15,4339,42,68,22,0,16,568,162,1154,13,3,183,3,319,0,145
Zambia,ZMB,3070,947,0,0,1,7,2,0,2,0,4,1,0,1,0,0,2,0,0,0,0,0,0,1,34,0,70,1,56,2,3,1,80,140,445,5,105,5,2,1,0,18,1,4,815,2,9,2,1,282,2091,2380,6901,2,0,3,0,1,7,2,3,2,67,41,6,1,2,0,0,1,0,0,1,2,0,0,0,2,0,0,1,0,3,2,4,1,153,1,0,1,9,1,0,14,6,86,1,5,0,0,0,1,15,219,357,70,300,5285,21784,243,574,193,11,880,113,97,289,282,2,1,225,2,1,4,1,0,8,8,591,1,11,5,39,20,4,1,38,1,2,1,20,0,1,721,9,0,17,11,14,42,42,50,26,307,565,12,24,5,16,171,385,1163,67,132,17,0,4,16,147,27,49,2,88,30,217,2730,44809,111,12914,57,23549,6048,57288,0,26372,2079,2586,1,169,9,145,11,740,1094,12,2,0,26,7,22,1969,374,6,189,1496,377,28,1959,767,13,4127,36,57,18,0,14,481,170,11,13,3,156,3,304,0,123
Zimbabwe,ZWE,11734,2888,1,0,1,9,3,2,2,0,13,4,0,1,0,1,2,0,0,0,0,0,0,3,32,0,44,0,74,3,3,1,78,185,336,7,139,6,2,1,0,24,1,5,812,2,11,3,1,352,2611,4186,12408,4,1,5,0,2,10,5,8,2,88,54,9,0,1,0,0,1,0,6,2,3,0,0,0,4,0,0,1,0,1,3,5,2,202,2,12,1,12,1,0,18,11,114,1,7,0,0,0,1,32,320,261,23,374,10157,49890,449,1468,101,30,1018,1352,123,320,715,2,1,173,3,2,9,2,1,10,18,1276,1,14,6,86,21,13,2,26,1,1,1,26,1,1,953,12,0,22,15,19,55,55,66,35,404,747,11,32,7,21,226,507,1538,89,175,22,0,5,21,194,35,66,3,118,43,287,3610,59109,158,44,76,16088,40132,3402,37763,0,3617,3411,2,293,12,63,15,977,137,5,2,2,35,9,30,2604,47,5,24,196,499,37,2592,1013,17,541,47,76,24,0,18,636,294,14,2,3,206,4,38,0,162
Angola,AGO,353,24,0,0,3,24,8,0,6,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,55,0,3,1,191,8,9,2,1359,476,11239,18,357,60,6,3,1,62,14,12,2091,6,28,7,2,907,6716,2501,6278,33,0,2,1,14,9,153,4,28,227,5061,63,10,0,6,0,2,9,0,4,8,1,1,7,13,1,1,2,1,8,7,13,4,521,4,1,2,32,3,0,47,1,292,3,18,0,0,0,3,112,2285,117,112,9160,34781,6934,23,604,1124,361,4646,174210,2423,511,4936,5,2,134,8,4,33,6,2,26,66,4632,2,36,16,0,135,36,5,29,2,31,2,67,1,0,2453,31,0,57,39,48,142,142,171,89,1040,1924,2,82,18,54,583,1302,3959,227,450,57,0,14,53,499,91,153,6,273,28,740,9292,152057,186,69373,195,14267,461,4148,153327,116660,0,8776,4,720,59,184,45,2893,578,15,2323,45,90,24,14542,6700,197,12,100,813,1284,96,6670,2985,44,2241,122,223,62,0,46,1642,721,37,7,2566,537,14,161,0,418
"Congo, the Democratic Republic of the",COD,267,66,0,0,3,23,8,0,6,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,78,0,99,1,186,8,9,3,148,462,418,18,347,14,6,3,0,60,2,12,2031,6,28,7,2,891,6601,10201,7663,10,1,5,1,6,7,3,2,2,221,134,14,2,0,0,0,2,1,0,4,8,1,1,18,1,1,1,2,1,1,7,13,4,506,4,0,2,31,3,0,46,0,284,3,18,0,0,0,3,59,49889,0,329,27459,19665,9430,1230,116,238,579,3239,1617,770,1226,3957,5,2,3,8,4,16,3,2,25,33,2289,1,35,16,0,33,19,5,36,1,6,2,65,1,0,2382,31,0,55,38,47,138,138,166,87,1023,1868,0,80,18,53,566,1280,3844,221,438,55,0,13,52,490,88,166,7,296,115,718,9024,149462,122,110,189,8701,447,152,75392,71152,5609,0,4,439,58,69878,38,2467,4995,203,6,15406,87,24,107914,6507,1706,23,864,6834,1247,95,6477,2535,43,18847,118,190,37,0,45,1591,440,71313,58,9,522,14,1390,9923,406
Mauritius,MUS,16962,163,1,0,1,5,2,2,1,0,15,5,0,0,0,1,1,0,0,0,0,0,0,3,17,0,20,0,41,2,2,1,32,101,90,4,76,3,1,1,0,13,0,3,356,1,6,2,0,191,1413,6720,1913,5,0,2,0,3,4,1,1,0,48,29,3,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,3,2,3,1,110,1,0,1,7,1,0,10,4,62,1,4,0,0,0,1,38,2673,114,26,32193,11420,27331,53,136,7431,89,299,12,142,144,2206,1,0,142,2,1,12,2,0,5,23,1613,0,8,3,4,4,5,1,9,0,0,0,14,0,0,520,7,0,12,8,10,30,30,36,19,220,408,7,17,4,11,124,276,839,48,95,12,0,3,11,106,19,34,1,60,13,157,1970,32149,19,24,41,1303,98,986,908,10671,841,1855,0,66,620,34,8,531,70,3,1,0,19,5,16,1421,24,3,12,101,272,20,1414,553,9,277,26,41,13,0,10,347,66,8,1,2,112,2,19,0,89
Seychelles,SYC,2448,57,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,4,0,0,0,3,10,9,0,7,0,0,0,0,1,0,0,43,0,1,0,0,19,139,1035,716,3,0,0,0,0,1,0,1,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,2,77,20,2,410,744,2926,33,16,594,1,83,2,25,53,211,0,0,13,0,0,1,0,0,1,1,100,0,1,0,3,2,0,0,2,0,0,0,1,0,0,51,1,0,1,1,1,3,3,4,2,22,40,1,2,0,1,12,27,82,5,9,1,0,0,1,10,2,6,0,12,17,15,193,3144,2,2,4,128,10,1040,89,1050,83,181,28,0,15,5,1,52,23,0,0,0,2,1,2,139,8,0,4,32,27,2,139,54,1,88,3,4,1,0,1,34,6,1,0,0,11,0,6,0,9
Madagascar,MDG,158,22,0,0,1,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,41,0,36,1,2,1,31,88,101,3,66,3,1,1,0,11,0,2,389,1,6,2,1,215,1592,1950,1617,3,0,1,0,1,3,6,4,3,45,26,10,0,0,50,0,0,0,1,1,1,0,0,0,1,0,0,2,1,8,4,9,1,97,2,0,0,6,1,0,9,0,54,80,273,0,0,0,1,43,1207,26,3,77616,13008,1037,142,16,1108,42,144,36,187,74,1247,1,0,380,1,1,13,2,0,5,26,1840,0,7,4,3,25,14,1,13,1,15,0,12,0,1,456,6,0,11,7,9,26,26,32,17,247,358,1,19,4,11,108,309,736,46,86,11,0,3,13,118,18,38,2,69,55,138,5,316,12,21,36,780,86,29,924,6356,501,2080,215,39,0,45,9,596,149,3,1,21,17,5756,18,1246,51,3,26,211,239,23,1241,508,10,583,23,38,15,0,9,306,19391,7,2,2,126,2,42,0,78
Uganda,UGA,1217,260,0,0,1,5,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,222,1,43,2,2,2,37,106,122,4,80,4,1,1,0,14,0,3,856,1,9,2,1,279,2064,11085,12624,4,1,7,0,4,1,4,1,1,54,31,2,0,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,2,4,1,116,1,0,1,7,1,0,11,2,65,1,4,0,0,0,1,34,278,977,26,394,10375,55463,95,146,476,15,673,59,51,2455,619,2,0,582,2,1,10,2,0,6,20,1389,1,8,4,6,17,15,1,44,1,0,0,15,0,1,549,7,0,13,9,11,32,32,38,20,299,430,19,24,5,13,130,377,885,56,103,13,0,4,15,144,22,54,3,96,103,165,6,384,4,25,44,80,103,40768,1513,631,50,2525,1,4,9,0,11,723,897,9,1,7,20,7,22,1499,306,5,155,1231,287,28,1492,612,13,3396,27,46,18,0,10,368,4,3965,10,2,153,2,250,1925,93
Benin,BEN,20,9,0,0,2,17,6,0,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,42,0,8,1,141,6,7,1,120,350,389,14,263,13,5,3,0,45,1,9,1539,5,25,7,2,830,6148,411,2717,46,0,1,1,1,18,3,3,2,176,101,1,0,0,0,0,1,0,0,3,6,1,1,1,1,1,1,2,1,8,5,12,3,383,3,0,2,23,3,0,35,0,215,3,13,0,0,0,2,16,423,29,1,12821,7496,819,12,28,871,12,119,26,155,25,296,5,1,10,6,3,3,1,1,19,6,443,1,27,14,2,28,12,4,9,1,33,1,49,1,0,1805,23,0,42,29,36,104,104,126,66,952,1415,4,75,17,43,429,1192,2913,179,338,42,0,13,49,457,71,119,6,213,54,544,18,1222,10,84,143,91,339,115,372,668,53,8033,4,5,17,204,0,73069,891,538,5,150,66,22,7736,61103,304,12,154,1242,32193,88,29828,56533,40,3424,137,4231,585,0,9682,159683,5,27,10,7,1497,127,248,0,71780
Burkina Faso,BFA,17,16,0,0,5,41,15,0,11,0,0,0,0,3,0,0,9,1,1,0,0,0,0,0,94,1,5,2,328,14,15,3,280,815,903,32,612,30,11,6,1,106,3,21,3584,11,57,15,5,1926,14267,352,4303,2,0,1,2,2,6,6,6,4,409,236,1,0,0,1,0,3,1,0,7,13,2,2,2,1,2,2,5,2,0,13,27,7,892,7,1,4,54,7,0,81,0,501,6,31,0,0,1,5,25,402,29,1,5000,13857,1418,13,32,3214,8,207,2,223,44,386,11,3,16,14,7,3,1,3,44,7,477,2,62,32,0,6,4,9,6,2,0,3,115,1,0,4204,54,0,97,67,83,243,243,293,153,2210,3297,5,174,39,99,999,2766,6785,415,786,98,0,29,113,1059,166,269,13,481,82,1268,42,2836,23,195,334,211,790,269,867,1552,122,18642,9,11,40,312,2701,0,427,1151,11,72,154,52,160,977421,146,25,74,650,2200,204,69218,148791,93,1792,486,11136,132,0,10426,7583,11,63,5,16,3793,17,119,0,717
Burundi,BDI,25,49,0,0,1,12,4,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,28,0,2,1,98,4,5,1,85,245,279,9,184,9,3,2,0,32,1,6,1075,3,18,5,2,594,4403,2361,2086,2,0,1,1,1,1,2,1,1,124,71,1,0,0,0,0,1,0,0,2,4,1,1,1,1,1,0,1,1,1,4,8,2,268,2,0,1,16,2,0,24,0,150,2,9,0,0,0,2,11,3746,292,6,1287,5226,2427,140,48,528,32,654,15,38,425,414,3,1,126,4,2,2,1,1,13,4,295,1,19,10,1,1,1,3,4,1,2,1,34,0,0,1261,16,0,29,20,25,73,73,88,46,682,989,3,54,12,30,300,854,2036,126,236,30,0,9,35,327,50,87,4,155,55,380,13,875,8,59,100,140,237,204876,2278,1085,86,5753,3,7,20,83244,25,1647,0,49,3,20,46,16,49,3446,1872,21,949,7495,660,63,3430,1404,29,20670,63,105,41,0,24,847,7,8563,64,7,348,5,1526,0,215
Cameroon,CMR,64,26,0,0,1,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,44,0,42,2,2,1,36,103,119,4,77,4,1,1,0,13,0,3,454,1,7,2,1,253,1877,2390,12835,4,1,4,0,0,3,5,2,13,52,30,4,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,0,1,2,4,1,113,1,0,1,7,1,0,10,0,63,1,4,0,0,0,1,30,2408,190,28,38530,9252,3468,439,265,3293,90,985,58,1580,257,2713,1,0,311,2,1,9,2,0,6,17,1221,0,8,4,16,6,32,1,11,1,0,0,15,0,0,532,7,0,12,8,10,31,31,37,19,291,417,16,23,5,13,126,365,859,54,100,13,0,4,15,140,22,62,3,111,152,161,6,373,3,25,42,26,100,34,73,190,15,2453,1,1,16,121,54,3513,865,0,1,5103,5135,7,4312,1454,295,396,150,1186,30216,27,1447,3385,12,3270,31,253,418,0,296,16890,1,8,10,2,193,4,241,0,91
Cape Verde,CPV,24,5,0,0,1,6,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,1,0,47,2,2,0,46,118,177,5,88,4,2,1,0,15,0,3,517,2,8,2,1,275,2038,325,27606,1,1,8,0,0,6,4,2,0,59,34,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,2,4,1,129,1,0,1,8,1,0,12,0,72,1,5,0,0,0,1,43,394,18,5,13268,13193,621,35,9,4719,2423,11053,44964,2282,316,1487,2,0,241,2,1,13,2,0,6,26,1816,0,9,5,0,13,1,1,0,0,0,0,17,0,0,607,8,0,14,10,12,35,35,42,22,316,476,0,25,6,14,144,395,979,60,113,14,0,4,16,151,24,37,2,66,1,183,6,405,11,28,48,655,16859,39,211,5327,420,2663,1,33,6,48,71,4596,96,166,0,8,22,7,23,1658,33,4,17,141,318,29,9890,4480,437,388,37,335,19,0,11,2891,33,9,1,1951,12583,3,27,0,103
Central African Republic,CAF,6,75,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,8,0,26,1,1,0,17,64,32,2,48,1,1,0,0,8,0,2,280,1,2,1,0,69,510,185,430,6,0,0,0,0,1,0,0,1,27,18,3,0,0,0,0,0,0,16,1,1,0,0,0,5,0,0,0,0,3,1,1,1,70,1,0,0,4,0,0,6,0,39,0,2,0,0,0,0,6,157,4,2,10233,2030,426,92,3,84,9,32,127,63,26,176,0,0,2,1,1,2,0,0,3,4,257,0,5,1,4,3,3,1,1,0,2,0,9,0,0,329,4,0,8,5,6,19,19,23,12,79,258,6,6,1,6,78,99,530,27,58,7,0,1,4,38,11,31,1,56,57,99,2,101,1,15,26,13,62,21,188,119,9,666,0,1,4,150,3,191,1425,3361,1,0,9387,2,14534,897,487,4,246,1939,172,7,893,323,3,5346,16,24,5,0,6,218,1,5,17,1,40,1,397,50551,56
Chad,TCD,33,7,0,0,1,9,3,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,20,0,2,0,70,3,3,1,48,175,92,7,131,3,2,1,0,23,1,4,767,2,7,2,1,196,1448,646,766,1,0,0,0,0,2,1,1,0,76,51,19,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,3,3,2,191,1,0,1,12,1,0,17,0,107,1,7,0,0,0,1,5,213,7,3,4729,2058,464,25,9,86,5,62,18,52,37,208,1,1,7,3,2,1,0,1,9,2,153,0,13,4,0,8,7,2,0,0,24,1,25,0,0,900,12,0,21,14,18,52,52,63,33,224,706,5,18,16,94,214,1151,1453,393,183,22,0,8606,47,441,157,122,5,218,342,271,4,288,3,42,72,38,169,58,535,336,27,1893,1,2,13,408,56,3612,3862,32520,2,29690,0,5,4989,2459,1319,12,668,5257,471,21,2448,3893,9,14496,49,291,57,0,727,18321,2,13,45,3,163,3,1075,143669,153
Comoros,COM,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,1,0,10,29,31,1,22,1,0,0,0,4,0,1,127,0,2,1,0,67,496,55,241,4,0,0,0,0,3,0,0,0,14,8,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,32,0,0,0,2,0,0,3,1,18,0,1,0,0,0,0,11,56,12,2,20853,3388,135,0,1,5,2,17,3,5,5,85,0,0,3,0,0,3,1,0,2,7,470,0,2,1,0,2,0,0,1,0,0,0,4,0,0,149,2,0,3,2,3,9,9,10,5,77,117,2,42,2,10,35,169,240,41,4,52,0,2,667,65,17,350,38,626,482,1253,1,99,1,7,12,16,28,2262,256,123,10,648,0,1,10861,34,3,185,251,3,0,0,5,0,6,406,86,1,43,345,78,7,404,163,3,950,7,12,1,0,3,100,1,2,3,1,39,1,70,0,25
Congo,COG,134,56,0,0,2,16,6,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,49,0,49,1,128,5,6,2,88,318,167,12,239,6,4,1,0,41,1,8,1399,4,13,3,1,357,2645,301,5652,18,0,2,1,1,79,5,4,8,138,92,12,1,0,0,0,1,1,0,3,5,0,0,6,3,0,0,1,0,0,5,5,3,348,3,0,2,21,1,0,32,0,195,1,12,0,0,0,2,40,14660,132,14,45664,12528,3859,853,1143,206,24,2576,1823,1090,279,1153,2,1,108,5,3,12,2,1,17,24,1646,2,24,8,193,65,42,3,50,2,3,1,45,1,0,1641,21,0,38,26,32,95,95,114,60,410,1287,31,32,7,32,390,516,2649,135,292,37,0,5,21,198,54,104,3,186,31,495,8,526,8,76,130,307,308,87805,7378,2555,201,3457,2,15,23,704,15,990,6628,1649,4,1063,174,10,0,4484,2263,21,1146,9031,9374,38,4463,1622,17,24904,80,121,25,0,31,1088,16,24,77,48,209,6,1845,262394,280
